HIP9061;29.16732779;-22.52671171;8.9;63.31;-27.14;0;5.0531
HIP9095;29.29163643;-47.3852989;11.67;103.7;9.78;0;4.9864
HIP9236;29.69114052;-61.56992723;48.71;263.2;28.16;0;2.9305
HIP9326;29.94245121;-20.82457548;4.93;17.77;15.16;0;5.5194
HIP9347;30.00093662;-21.07777192;11.04;133.62;-24.33;0;4.1012
HIP9372;30.11154962;-8.52382614;4.4;84.54;-17.45;0;5.3545
HIP9459;30.42667655;-44.71339042;8.88;-32.13;-48.04;0;5.2658
HIP9487;30.51165411;2.76375674;15.74;16.75;-2.25;0;3.8281
HIP9640;30.97466225;42.32984806;6.45;42.47;-50.17;0;2.2409
HIP9884;31.79285748;23.46277754;48.28;190.48;-146.99;0;2.1726
HIP10064;32.38550401;34.98739196;26.13;148.91;-39.51;0;3.0626
HIP10155;32.65642513;19.50040358;4.63;87.88;-27.44;0;5.7378
HIP10324;33.25004541;8.84675131;14.41;-24.18;-8.39;0;4.5172
HIP10340;33.30558666;44.23168901;5.67;-20.37;-14.16;0;4.9716
HIP10602;34.1270845;-51.51211139;20.95;91.55;-22.06;0;3.5211
HIP10826;34.83661152;-2.97706072;6.21;4.55;-239.36;0;4.9898
HIP11001;35.43759576;-68.65942391;24;-50.58;3.41;0;4.098
HIP11021;35.4859792;0.39569205;2.82;-11.97;-7.82;0;5.3733
HIP11313;36.40583747;50.27866581;9;24.15;-14.72;0;4.851
HIP11407;36.7462708;-47.70382696;6.22;19.5;-5.42;0;4.2002
HIP11484;37.03965749;8.46008848;20.04;39.47;-7.83;0;4.2725
HIP11783;38.02198846;-15.24431989;35.66;-70.16;-126.53;0;4.8432
HIP12086;38.9449878;34.6876828;-2.03;29.32;-50.77;0;5.5065
HIP12093;38.96870412;5.59330167;8.51;-27.6;-23.29;0;5.0189
HIP12107;39.0002837;-7.83145316;6.29;-34.42;-59.31;0;5.6141
HIP12387;39.8706178;0.32851681;4.99;13.6;-2.99;0;4.0081
HIP12394;39.89676543;-68.26694762;21.4;87.27;0.79;0;4.0933
HIP12486;40.16638212;-39.85530905;22.38;135.21;-27.27;0;4.2751
HIP12706;40.82551715;3.23617427;38.87;-149.66;-144.98;0;3.5001
HIP12770;41.03064288;-13.85867603;7.16;-9.14;-15.7;0;4.2067
HIP12828;41.23488868;10.11422005;37.24;278.59;-37.36;0;4.3439
HIP12843;41.27492268;-18.57265074;72.43;330.96;35.07;0;4.5718
HIP13147;42.27233109;-32.406284;18.91;86.04;159.43;0;4.6193
HIP13244;42.61890357;-75.06688105;9.9;-34.36;-26.5;0;4.9107
HIP13268;42.67413652;55.89552956;2.49;16.38;-13.85;0;3.896
HIP13288;42.75977408;-21.0039787;16.21;-44.07;-19.21;0;4.9284
HIP13328;42.87846217;35.05989415;7.75;9.29;-63.04;0;4.6674
HIP13531;43.56443027;52.76248952;14.3;-0.6;-4.75;0;4.0759
HIP13654;43.95209488;18.33167606;8.26;-7.82;-15.32;0;5.4449
HIP13701;44.10668248;-8.89760982;24.64;77.86;-219.2;0;4.0583
HIP13847;44.5654781;-40.30474047;38.58;-49.89;26.38;0;2.9378
HIP14135;45.56991301;4.08992558;14.37;-10.4;-76.89;0;2.6196
HIP14146;45.59830454;-23.6243361;37.32;-147.3;-55.38;0;4.1328
HIP14328;46.19912623;53.50645045;11.64;0.4;-4.67;0;3.0586
HIP14354;46.29373756;38.84053296;10.73;128.9;-105.39;0;3.2889
HIP14456;46.63953394;-6.08854231;6.82;7.56;-7.92;0;5.2905
HIP14576;47.04220751;40.95565166;36.29;2.56;-0.69;0;2.097
HIP14668;47.37345462;44.85788838;30.42;180.58;-150.68;0;3.9564
HIP14838;47.90695699;19.72669777;20.09;154.56;-7.7;0;4.5117
HIP14879;48.01783205;-28.98910672;68.79;367.06;615.3;0;3.9821
HIP14895;48.06073437;-40.40937559;3.97;34.88;26.6;0;7.2585
HIP14930;48.13808295;-57.32158197;2.47;18.32;13.6;0;5.7328
HIP15382;49.59206766;-22.51114946;12.77;10.19;13.2;0;5.0241
