Deneb el Okab,285.0833333,13.9,2.99
Pherkad Major,225.35,71.8,3
Minkar,180.1666667,-22.6,3.02
Phurad,90.33333333,-30.1,3.02
Almaaz,75.03333333,43.8,3.03
Seginus,210.5333333,38.3,3.04
Dabih,300.35,-14.8,3.05
Mebsuta,90.73333333,25.1,3.06
Tania Australis,150.3666667,41.5,3.06
Tais,285.2166667,67.7,3.07
Persian,300.6333333,-47.3,3.11
Sarin,255.25,24.8,3.12
Talita,120.9833333,48,3.12
Wazn,75.85,-35.8,3.12
Ke Kwan,210.9833333,-42.1,3.13
Al Haud,135.55,51.7,3.17
Aldhibah,255.15,65.7,3.17
Hoedus II,75.11666667,41.2,3.18
Tabit,60.83333333,7,3.19
Errai,345.65,77.6,3.21
Alphirk,315.4833333,70.6,3.23
Alava,270.35,-2.9,3.23
Yed Posterior,240.3,-4.7,3.23
Brachium,225.0666667,-25.3,3.25
Sulaphat,270.9833333,32.7,3.25
Skat,330.9166667,-15.8,3.27
Edasich,225.4166667,59,3.29
Propus,90.25,22.5,3.31
Rasalgethi,255.25,14.4,3.31
Gorgonea Tertia,45.08333333,38.8,3.32
Megrez,180.25,57,3.32
Chort,165.2333333,15.4,3.33
Asmidiske,105.8166667,-24.9,3.34
Algjebbah,75.4,-2.4,3.35
Alzirr,90.75,12.9,3.35
Muscida,120.5,60.7,3.35
Segin,15.9,63.7,3.35
Heze,195.5833333,-0.6,3.38
Auva,180.9333333,3.4,3.39
Meissa,75.58333333,9.9,3.39
Homam,330.6833333,10.8,3.41
Mothallah,15.88333333,29.6,3.42
Adhafera,150.2833333,23.4,3.43
Althalimain,285.1,-4.9,3.43
Sheliak,270.8333333,33.4,3.45
Tania Borealis,150.2833333,42.9,3.45
Achird,0.816666667,57.8,3.46
Dheneb,15.15,-10.2,3.46
Kaffaljidhma,30.71666667,3.2,3.47
Alula Borealis,165.3,33.1,3.49
Nekkar,225.0333333,40.4,3.49
Wasat,105.3333333,22,3.5
Sadalbari,330.8333333,24.6,3.51
Baham,330.1666667,6.2,3.52
Rana,45.71666667,-9.8,3.52
Subra,135.6833333,9.9,3.52
Tseen Ke,135.95,-54.6,3.52
Ain,60.48333333,19.2,3.53
Tarf,120.2833333,9.2,3.53
